,Links,Text in links
0,https://en.wikipedia.org/wiki/Administrative_divisions_of_India,Administrative divisions of India
1,https://en.wikipedia.org/wiki/State_of_India_(disambiguation),State of India (disambiguation)
2,https://en.wikipedia.org/wiki/Indian_Territory,Indian Territory
3,https://en.wikipedia.org/wiki/Presidencies_and_provinces_of_British_India,Presidencies and provinces of British India
4,https://en.wikipedia.org/wiki/Political_integration_of_India,Political integration of India
5,https://en.wikipedia.org/wiki/Goa_liberation_movement,Goa liberation movement
6,https://en.wikipedia.org/wiki/Mahagujarat_movement,Mahagujarat movement
7,https://en.wikipedia.org/wiki/Proposed_states_and_union_territories_of_India,Proposed states and union territories of India
8,https://en.wikipedia.org/wiki/List_of_state_and_union_territory_capitals_in_India,List of state and union territory capitals in India
9,https://en.wikipedia.org/wiki/Federalism_in_India,Federalism in India
10,https://en.wikipedia.org/wiki/File:Rajya_Sabha_June_2020.Svg,
