,titles,subtitles,links
0,READY FOR JER-MAIN?,Jermain Defoe and new lover leave restaurant after romantic meal,https://www.thesun.co.uk/sport/21985249/jermain-defoe-new-lover-italian-restaurant/
1,ACE'S SMASH,Man Utd legend in car crash before Everton win with police called to scene,https://www.thesun.co.uk/sport/21985684/man-utd-legend-bryan-robson-car-crash/
2,MYK DROP,Misfiring Chelsea ace Mudryk set to make big lifestyle change to help him succeed,https://www.thesun.co.uk/sport/21986095/chelsea-mudryk-family-lifestyle-change/
3,NOT BEING FRANK,Lamps weirdly says he can't talk about his assistants 'for some reason',https://www.thesun.co.uk/sport/21986797/frank-lampard-chelsea-ashley-cole-todd-boehly/
4,GREAT SCOTT,Man Utd slap £50m price tag on McTominay with Red Devils in no rush to sell,https://www.thesun.co.uk/sport/21987189/man-utd-scott-mctominay-transfer-price/
5,SPURS 2 BRIGHTON 1,Kane wins it after visitors have TWO goals ruled out and denied penalty,https://www.thesun.co.uk/sport/21951523/tottenham-vs-brighton-live-score-latest-updates-premier-league/
6,MAN UTD RATINGS,Fernandes dictates game vs Everton in new position but Antony too wasteful,https://www.thesun.co.uk/sport/21983418/man-utd-ratings-fernandes-everton-antony/
7,SAINTS 1 MAN CITY 4,Erling Haaland scores stunning double to pile pressure on Arsenal,https://www.thesun.co.uk/sport/21963895/southampton-vs-man-city-live-score-latest-updates-premier-league/
8,BRENTFORD 1 NEWCASTLE 2,Isak scores stunning winner as Toon keep top-four race alive,https://www.thesun.co.uk/sport/21949889/brentford-vs-newcastle-live-score-latest-updates-premier-league/
9,TONY ADAMS,"I'm SURE Arsenal will win at Liverpool, Reds should have lost 10-0 at Chelsea",https://www.thesun.co.uk/sport/21985896/arsenal-liverpool-anfield-win-tony-adams/
10,LA LA LAND,Fans say Haaland is a 'cheat code' after star's bicycle kick against Southampton,https://www.thesun.co.uk/sport/21985579/haaland-bicycle-kick-southampton-man-city/
11,CRYSTAL CLEAR,Crystal Palace line up Spurs flop as potential Wilfried Zaha replacement,https://www.thesun.co.uk/sport/21986249/crystal-palace-tottenham-wilfried-zaha-jack-clarke-sunderland/
12,MAX-ED OUT,Tottenham face competition in Aarons transfer race as Bundesliga side enter race,https://www.thesun.co.uk/sport/21986038/tottenham-max-aarons-transfer-bundesliga-club/
13,MAN UTD 2 EVERTON 0,McTominay and Martial seal vital win in race for top four,https://www.thesun.co.uk/sport/21983222/man-utd-everton-martial-mctominay-rashford/
14,FULHAM 0 WEST HAM 1,Reed own goal hands Moyes much-needed three points in relegation scrap,https://www.thesun.co.uk/sport/21950512/west-ham-fulham-reed-moyes/
15,LEICESTER 0 BOURNEMOUTH 1,Foxes booed off as they slip even deeper into relegation battle,https://www.thesun.co.uk/sport/21950982/leicester-vs-bournemouth-live-score-latest-updates-premier-league/
16,ASTON VILLA 2 FOREST 0,Emery's side up to SIXTH as they keep up red-hot form in Euro race,https://www.thesun.co.uk/sport/21949413/aston-villa-nottingham-forest-watkins-cooper/
